"Date","Time","State.UnionTerritory","ConfirmedIndianNational","ConfirmedForeignNational","CFR","Recovery_Rate","Population_State","Cases_type","Cases_counts"
2020-03-22,"6:00 PM","Odisha",2,0,0,0,46356334,"Cured",0
2020-03-22,"6:00 PM","Puducherry",1,0,0,0,1413542,"Cured",0
2020-03-22,"6:00 PM","Punjab",21,0,4.76,0,30141373,"Cured",0
2020-03-22,"6:00 PM","Rajasthan",22,2,0,12.5,81032689,"Cured",3
2020-03-22,"6:00 PM","Tamil Nadu",5,2,0,14.29,77841267,"Cured",1
2020-03-22,"6:00 PM","Telangana",11,11,0,4.55,39362732,"Cured",1
2020-03-22,"6:00 PM","Chandigarh",5,0,0,0,1158473,"Cured",0
2020-03-22,"6:00 PM","Jammu and Kashmir",4,0,0,0,13606320,"Cured",0
2020-03-22,"6:00 PM","Ladakh",13,0,0,0,289023,"Cured",0
2020-03-22,"6:00 PM","Uttar Pradesh",26,1,0,33.33,237882725,"Cured",9
2020-03-22,"6:00 PM","Uttarakhand",3,0,0,0,11250858,"Cured",0
2020-03-22,"6:00 PM","West Bengal",4,0,0,0,99609303,"Cured",0
2020-03-23,"6:00 PM","Andhra Pradesh",7,0,0,0,53903393,"Cured",0
2020-03-23,"6:00 PM","Bihar",2,0,50,0,124799926,"Cured",0
2020-03-23,"6:00 PM","Chhattisgarh",1,0,0,0,29436231,"Cured",0
2020-03-23,"6:00 PM","Delhi",28,1,3.45,17.24,18710922,"Cured",5
2020-03-23,"6:00 PM","Gujarat",29,0,3.45,0,63872399,"Cured",0
2020-03-23,"6:00 PM","Haryana",12,14,0,0,28204692,"Cured",0
2020-03-23,"6:00 PM","Himachal Pradesh",2,0,0,0,7451955,"Cured",0
2020-03-23,"6:00 PM","Karnataka",33,0,3.03,6.06,67562686,"Cured",2
2020-03-23,"6:00 PM","Kerala",60,7,0,4.48,35699443,"Cured",3
2020-03-23,"6:00 PM","Madhya Pradesh",6,0,0,0,85358965,"Cured",0
2020-03-23,"6:00 PM","Maharashtra",71,3,2.7,0,123144223,"Cured",0
2020-03-23,"6:00 PM","Odisha",2,0,0,0,46356334,"Cured",0
2020-03-23,"6:00 PM","Puducherry",1,0,0,0,1413542,"Cured",0
2020-03-23,"6:00 PM","Punjab",21,0,4.76,0,30141373,"Cured",0
2020-03-23,"6:00 PM","Rajasthan",26,2,0,10.71,81032689,"Cured",3
2020-03-23,"6:00 PM","Tamil Nadu",7,2,0,11.11,77841267,"Cured",1
2020-03-23,"6:00 PM","Telangana",22,10,0,3.12,39362732,"Cured",1
2020-03-23,"6:00 PM","Chandigarh",6,0,0,0,1158473,"Cured",0
2020-03-23,"6:00 PM","Jammu and Kashmir",4,0,0,0,13606320,"Cured",0
2020-03-23,"6:00 PM","Ladakh",13,0,0,0,289023,"Cured",0
2020-03-23,"6:00 PM","Uttar Pradesh",30,1,0,29.03,237882725,"Cured",9
2020-03-23,"6:00 PM","Uttarakhand",3,0,0,0,11250858,"Cured",0
2020-03-23,"6:00 PM","West Bengal",7,0,0,0,99609303,"Cured",0
2020-03-24,"6:00 PM","Andhra Pradesh",8,0,0,0,53903393,"Cured",0
2020-03-24,"6:00 PM","Bihar",3,0,33.33,0,124799926,"Cured",0
2020-03-24,"6:00 PM","Chhattisgarh",1,0,0,0,29436231,"Cured",0
2020-03-24,"6:00 PM","Delhi",29,1,3.33,20,18710922,"Cured",6
2020-03-24,"6:00 PM","Gujarat",32,1,3.03,0,63872399,"Cured",0
2020-03-24,"6:00 PM","Haryana",14,14,0,39.29,28204692,"Cured",11
2020-03-24,"6:00 PM","Himachal Pradesh",3,0,33.33,0,7451955,"Cured",0
2020-03-24,"6:00 PM","Karnataka",37,0,2.7,8.11,67562686,"Cured",3
2020-03-24,"6:00 PM","Kerala",87,8,0,4.21,35699443,"Cured",4
2020-03-24,"6:00 PM","Madhya Pradesh",7,0,0,0,85358965,"Cured",0
2020-03-24,"6:00 PM","Maharashtra",86,3,2.25,0,123144223,"Cured",0
2020-03-24,"6:00 PM","Manipur",1,0,0,0,3091545,"Cured",0
2020-03-24,"6:00 PM","Odisha",2,0,0,0,46356334,"Cured",0
2020-03-24,"6:00 PM","Puducherry",1,0,0,0,1413542,"Cured",0
2020-03-24,"6:00 PM","Punjab",29,0,3.45,0,30141373,"Cured",0
