"date","CLOSE"
2020-07-09,373.8
2020-07-10,372.35
2020-07-13,364.4
2020-07-14,348.15
2020-07-15,354.25
2020-07-16,348.1
2020-07-17,347.1
2020-07-20,349.65
2020-07-21,347.7
2020-07-22,336.1
2020-07-23,320.2
2020-07-24,336.2
2020-07-27,342.2
2020-07-28,337.75
2020-07-29,338.1
2020-07-30,341.3
2020-07-31,340.65
2020-08-03,339.65
2020-08-04,343.15
2020-08-05,342.6
2020-08-06,341.5
2020-08-07,371
2020-08-10,373.45
2020-08-11,360.6
2020-08-12,362.25
2020-08-13,361.95
2020-08-14,357.7
2020-08-17,366.1
2020-08-18,373.5
2020-08-19,370.75
2020-08-20,374.8
2020-08-21,376.65
2020-08-24,414.3
2020-08-25,424.8
2020-08-26,427.45
2020-08-27,432.2
2020-08-28,462.15
2020-08-31,453.6
2020-09-01,496.4
2020-09-02,546
2020-09-03,573.3
2020-09-04,544.65
2020-09-07,552.95
2020-09-08,564.35
2020-09-09,590.3
2020-09-10,579.6
2020-09-11,608.45
2020-09-14,638.75
2020-09-15,670.65
2020-09-16,675.6
2020-09-17,666.9
2020-09-18,664.6
2020-09-21,651.85
2020-09-22,619.3
2020-09-23,588.35
2020-09-24,617
2020-09-25,647.85
2020-09-28,680.2
2020-09-29,714.2
2020-09-30,737.85
2020-10-01,747.05
2020-10-05,749.25
2020-10-06,736.4
2020-10-07,699.7
2020-10-08,695.8
2020-10-09,683.85
2020-10-12,673.05
2020-10-13,706.7
2020-10-14,727.8
2020-10-15,704.7
2020-10-16,704.95
2020-10-17,704.95
2020-10-19,702.8
2020-10-20,689.15
2020-10-21,692.25
2020-10-22,726.85
2020-10-23,718.9
2020-10-26,704.55
2020-10-27,739.75
2020-10-28,776.7
2020-10-29,815.5
2020-10-30,856.25
2020-11-02,859.15
2020-11-03,831.5
2020-11-04,840.6
2020-11-05,854.55
2020-11-06,859.95
2020-11-09,897.55
2020-11-10,853.7
2020-11-11,896.35
2020-11-12,941.1
2020-11-13,988.15
2020-11-14,1008.7
2020-11-17,1058.75
2020-11-18,1079.15
2020-11-19,1083.85
2020-11-20,1135.55
2020-11-23,1180
2020-11-24,1204.95
2020-11-25,1144.75
2020-11-26,1104.3
2020-11-27,1120.8
2020-12-01,1133.85
2020-12-02,1144.9
2020-12-03,1145.3
2020-12-04,1129.2
2020-12-07,1108.55
2020-12-08,1097.8
2020-12-09,1064.7
2020-12-10,1036.05
2020-12-11,1041.1
2020-12-14,1012
2020-12-15,1012.8
2020-12-16,1018.4
2020-12-17,1041.1
2020-12-18,1016.15
2020-12-21,1020.55
2020-12-22,1029.5
2020-12-23,1044.25
2020-12-24,1035.8
2020-12-28,1037.5
2020-12-29,1038.2
2020-12-30,1051.35
2020-12-31,1052.55
2021-01-01,1066.15
2021-01-04,1081.55
2021-01-05,1096.55
2021-01-06,1106.55
2021-01-07,1063.5
2021-01-08,1014.9
2021-01-11,967.95
2021-01-12,925.2
2021-01-13,921.5
2021-01-14,967.55
2021-01-15,947.55
2021-01-18,953.45
2021-01-19,997.05
2021-01-20,1020.55
2021-01-21,1048.05
2021-01-22,1047.45
2021-01-25,1029.9
2021-01-27,1027.6
2021-01-28,1032.25
2021-01-29,1003.75
2021-02-01,1022.9
2021-02-02,1032.85
2021-02-03,1026
2021-02-04,1077.3
2021-02-05,1076.05
2021-02-08,1061.55
2021-02-09,1085.35
2021-02-10,1076.15
2021-02-11,1062.45
2021-02-12,1061.2
2021-02-15,1054.7
2021-02-16,1067.95
2021-02-17,1102.8
2021-02-18,1114.4
2021-02-19,1118.4
2021-02-22,1140.55
2021-02-23,1194.45
2021-02-24,1167.35
2021-02-25,1129.2
2021-02-26,1168.05
2021-03-01,1140.55
2021-03-02,1162.55
2021-03-03,1174.8
2021-03-04,1185.15
2021-03-05,1171.05
2021-03-08,1171.3
2021-03-09,1168.25
2021-03-10,1185.65
2021-03-12,1160.3
2021-03-15,1197.35
2021-03-16,1219.25
2021-03-17,1163.5
2021-03-18,1134.8
2021-03-19,1191.5
2021-03-22,1251.05
2021-03-23,1312.2
2021-03-24,1292.6
2021-03-25,1228
2021-03-26,1211.55
2021-03-30,1156.6
2021-03-31,1104.3
2021-04-01,1159.5
2021-04-05,1168.6
2021-04-06,1194.55
2021-04-07,1194.75
2021-04-08,1166.1
2021-04-09,1142.9
2021-04-12,1085.8
2021-04-13,1113.35
2021-04-15,1121.55
2021-04-16,1107.65
2021-04-19,1055.7
2021-04-20,1043.55
2021-04-22,1029.65
2021-04-23,1052.4
2021-04-26,1049.15
